y_fail,bin,pos_center,mean_risk,n
0,0,0.05,0.4802789815130458,1368
0,1,0.15,0.48483481317388866,1785
0,2,0.25,0.48190643544348716,1628
0,3,0.35,0.4805539787000114,1161
0,4,0.45,0.49378508679453453,766
0,5,0.55,0.4847379940877294,814
0,6,0.65,0.5100410452653336,560
0,7,0.75,0.5480873321956093,491
0,8,0.85,0.54877651594147,465
0,9,0.95,0.3929897677753201,1816
1,0,0.05,0.5219376277335921,2765
1,1,0.15,0.5415397855321221,2160
1,2,0.25,0.5807912479001245,1560
1,3,0.35,0.6212865847729653,1160
1,4,0.45,0.6737594491750631,936
1,5,0.55,0.6896035512857497,1036
1,6,0.65,0.7359949718557256,913
1,7,0.75,0.7610250709551,809
1,8,0.85,0.7746067005737133,877
1,9,0.95,0.6855322138216884,2096
