trajectory_id,n_total_steps,first_alarm_step,lead_steps,lead_fraction
033963da342a,12,10.0,2.0,0.16666666666666666
04b849cf03ce,52,3.0,49.0,0.9423076923076923
0619c9cc832f,53,35.0,18.0,0.33962264150943394
0791c83fa7fd,37,30.0,7.0,0.1891891891891892
0c56323f00c1,42,25.0,17.0,0.40476190476190477
0d871827d56c,89,10.0,79.0,0.8876404494382022
0e94f4660d2c,35,15.0,20.0,0.5714285714285714
13b026830dcd,37,20.0,17.0,0.4594594594594595
16fb7528959c,44,25.0,19.0,0.4318181818181818
191010f8d9a0,14,4.0,10.0,0.7142857142857143
193bf6bffad6,62,10.0,52.0,0.8387096774193549
1aa7988175a4,185,20.0,165.0,0.8918918918918919
20f06f0ea37b,28,2.0,26.0,0.9285714285714286
21abbd561090,46,5.0,41.0,0.8913043478260869
22ac43c48e8f,7,7.0,0.0,0.0
256ca56af336,90,10.0,80.0,0.8888888888888888
2933d4011770,39,25.0,14.0,0.358974358974359
294a8069a9af,124,25.0,99.0,0.7983870967741935
29a9159cbb57,43,10.0,33.0,0.7674418604651163
2c4e377c6059,30,20.0,10.0,0.3333333333333333
2d49f2182bd8,97,4.0,93.0,0.9587628865979382
2d49f576063f,39,30.0,9.0,0.23076923076923078
2d71980a92c0,54,4.0,50.0,0.9259259259259259
2d78a7b7b38a,65,25.0,40.0,0.6153846153846154
2ea0ebaf4a54,42,25.0,17.0,0.40476190476190477
2f660b7c0dd4,40,20.0,20.0,0.5
304e9cacbf62,40,10.0,30.0,0.75
30d017d41bf3,31,20.0,11.0,0.3548387096774194
30eb31dc1c2f,21,15.0,6.0,0.2857142857142857
323607e81151,72,15.0,57.0,0.7916666666666666
3297b432a2f7,43,25.0,18.0,0.4186046511627907
3c185eef4fd2,43,30.0,13.0,0.3023255813953488
3ee150ae1d6b,26,10.0,16.0,0.6153846153846154
3f6355c93684,44,40.0,4.0,0.09090909090909091
40e77c1b2dc3,35,2.0,33.0,0.9428571428571428
458006cac2e3,27,20.0,7.0,0.25925925925925924
50692d8596d7,28,20.0,8.0,0.2857142857142857
50cb9780ce61,26,20.0,6.0,0.23076923076923078
52ada462929d,22,15.0,7.0,0.3181818181818182
56b7a3d967a0,39,20.0,19.0,0.48717948717948717
589f21a40f66,237,10.0,227.0,0.9578059071729957
6013ac582cf4,221,10.0,211.0,0.9547511312217195
676d9f4a7c10,74,35.0,39.0,0.527027027027027
6b447c539fb5,21,10.0,11.0,0.5238095238095238
6db729da7ad1,43,20.0,23.0,0.5348837209302325
6f5c674fdd92,87,10.0,77.0,0.8850574712643678
6fcf695c6196,31,4.0,27.0,0.8709677419354839
72bb73e94429,17,10.0,7.0,0.4117647058823529
73e2e91d3549,82,10.0,72.0,0.8780487804878049
746a9da0f410,15,4.0,11.0,0.7333333333333333
767bedf1faf3,45,2.0,43.0,0.9555555555555556
788b65522820,11,4.0,7.0,0.6363636363636364
81e4aff7a40f,33,15.0,18.0,0.5454545454545454
83a9b4191d77,29,15.0,14.0,0.4827586206896552
844b30b27ff5,26,20.0,6.0,0.23076923076923078
84829653b70c,261,10.0,251.0,0.9616858237547893
84e0e2bf20a2,35,35.0,0.0,0.0
8bf430eedb6c,35,25.0,10.0,0.2857142857142857
8dc5175010a9,27,25.0,2.0,0.07407407407407407
8ed14feb8744,48,15.0,33.0,0.6875
8f2dce5c2092,33,30.0,3.0,0.09090909090909091
915642738ce8,38,35.0,3.0,0.07894736842105263
94c812bcc77d,44,30.0,14.0,0.3181818181818182
988506293e04,41,10.0,31.0,0.7560975609756098
9cab398db4f8,81,20.0,61.0,0.7530864197530864
9e153b2847a3,27,20.0,7.0,0.25925925925925924
9e71b3c4e445,39,25.0,14.0,0.358974358974359
9ed5847ca7eb,46,15.0,31.0,0.6739130434782609
9f98011f44c7,14,5.0,9.0,0.6428571428571429
9fc8a4d48e05,35,35.0,0.0,0.0
a1e5f481dee8,47,20.0,27.0,0.574468085106383
a3db1e075492,37,15.0,22.0,0.5945945945945946
a5761c775478,22,15.0,7.0,0.3181818181818182
aa778f2c2100,38,20.0,18.0,0.47368421052631576
af280c397d87,22,10.0,12.0,0.5454545454545454
b0effe46a093,48,25.0,23.0,0.4791666666666667
b4ae63e0ccbc,24,15.0,9.0,0.375
b5e08ec10b44,30,20.0,10.0,0.3333333333333333
bc7240dedd79,36,25.0,11.0,0.3055555555555556
bc8204be8d83,21,15.0,6.0,0.2857142857142857
bec04cc4caea,38,30.0,8.0,0.21052631578947367
c0a2a6b8d098,28,25.0,3.0,0.10714285714285714
c7a17494d80a,38,15.0,23.0,0.6052631578947368
c80cad9f83e3,19,15.0,4.0,0.21052631578947367
d14068afbef6,40,25.0,15.0,0.375
daf09c8ecc9e,51,25.0,26.0,0.5098039215686274
dd7cdc8723eb,46,30.0,16.0,0.34782608695652173
dded6c4c229d,58,30.0,28.0,0.4827586206896552
e2beb5bb3692,50,30.0,20.0,0.4
e66544ae17d8,56,15.0,41.0,0.7321428571428571
ed3b21d261ef,54,20.0,34.0,0.6296296296296297
f30f599f15fc,33,25.0,8.0,0.24242424242424243
f3bed00ac766,45,40.0,5.0,0.1111111111111111
fefff175a88e,48,20.0,28.0,0.5833333333333334
ff303bb91e2d,92,20.0,72.0,0.782608695652174
