y_fail,bin,pos_center,mean_risk,n
0,0,0.05,0.47142366748749615,155
0,1,0.15,0.5042869456999114,175
0,2,0.25,0.4878998289236918,173
0,3,0.35,0.4826269889224979,113
0,4,0.45,0.49482558368304225,67
0,5,0.55,0.5346805644636554,63
0,6,0.65,0.5692273038851231,44
0,7,0.75,0.5598593224016933,57
0,8,0.85,0.5573060011222281,52
0,9,0.95,0.4535177110328765,170
1,0,0.05,0.520631409921124,441
1,1,0.15,0.5462521899042703,308
1,2,0.25,0.5958407716172662,214
1,3,0.35,0.6380980577654537,170
1,4,0.45,0.7076886084771108,143
1,5,0.55,0.7151769747825533,154
1,6,0.65,0.7770926982297266,137
1,7,0.75,0.7972167687989271,129
1,8,0.85,0.8214361095315805,130
1,9,0.95,0.7355472151420093,315
